disease_id,disease_group,icd_code,disease,icd_name,share_outpatient,share_oneday,share_inpatient,top1_code,top2_code,top3_code,top1_share,top2_share,top3_share,n_total,n_Female_25-44_Low,n_Female_25-44_Med,n_Female_25-44_High,n_Female_45-64_Low,n_Female_45-64_Med,n_Female_45-64_High,n_Female_65+_Low,n_Female_65+_Med,n_Female_65+_High,n_Male_25-44_Low,n_Male_25-44_Med,n_Male_25-44_High,n_Male_45-64_Low,n_Male_45-64_Med,n_Male_45-64_High,n_Male_65+_Low,n_Male_65+_Med,n_Male_65+_High
72,Diabetes mellitus including diabetic complications,H30-H36,Disorders of choroid and retina,Disorders of choroid and retina,0.980582,0.018088,0.00133,E14,H36,H35,0.72,0.23,0.05,57146,567,584,582,2827,1865,1039,6378,6147,4261,1233,918,655,5342,4099,2820,7383,5941,4505
73,Diabetes mellitus including diabetic complications,I70-I79,"Diseases of arteries, arterioles and capillaries","Diseases of arteries, arterioles and capillaries",0.729197,0.018128,0.252675,E14,I79,L99,0.90,0.03,0.02,17348,81,63,54,541,342,205,1843,2037,1403,245,101,53,1743,1018,655,2919,2301,1744
74,Nutritional disorders,E40-E46,Malnutrition,Malnutrition,0.544193,0.273057,0.182751,R63,E46,E63,0.44,0.41,0.06,15461,371,303,289,1031,708,362,1680,1425,1270,245,136,82,1042,729,521,1962,1787,1518
76,Nutritional disorders,E65-E68,"Overweight, obesity and other hyperalimentation","Overweight, obesity and other hyperalimentation",0.536797,0.018678,0.444526,E66,E65,Z09,0.88,0.10,0.01,44085,5824,5464,4869,7221,5826,3615,314,231,172,1634,1222,763,2756,2272,1432,187,161,122
77,Other endocrine disorders,E04 E05 D34,"Other nontoxic goiter, Thyrotoxicosis [hyperthyroidism]","Other nontoxic goiter, Thyrotoxicosis [hyperthyroidism]",0.85136,0.014173,0.134467,E04,E05,D34,0.42,0.41,0.08,56196,3137,3815,4926,7942,6892,4805,4783,4180,3977,819,712,673,1611,1624,1914,1273,1493,1620
78,Other endocrine disorders,E03 E06,"Other hypothyroidism, Thyroiditis","Other hypothyroidism, Thyroiditis",0.966527,0.019814,0.013658,E03,E06,E02,0.79,0.20,0.00,23852,1804,2357,3773,3029,2672,1871,1309,1098,1094,362,380,322,683,695,698,561,571,573
79,Other endocrine disorders,E07,Other disorders of thyroid,Other disorders of thyroid,0.961163,0.01714,0.021697,E07,D44,D34,0.93,0.02,0.01,3190,213,273,430,433,416,231,213,179,192,55,,,91,106,105,94,72,87
80,Other endocrine disorders,E20-E35,Disorders of other endocrine glands,Disorders of other endocrine glands,0.889579,0.03705,0.073371,E34,E21,E27,0.13,0.12,0.10,33044,2797,3417,5049,2450,1952,1449,1918,1669,1591,885,763,609,1586,1495,1263,1346,1456,1349
81,Other endocrine disorders,E89.0,Postprocedural hypothyroidism,Postprocedural hypothyroidism,0.967709,0.015126,0.017165,E03,E89,E05,0.81,0.18,0.00,3998,227,267,325,519,421,268,361,267,262,64,,,122,118,95,253,208,221
82,Other metabolic disorders and immunodeficiencies,D84,Other immunodeficiencies,Other immunodeficiencies,0.786794,0.152431,0.060775,D84,D80,D83,0.44,0.23,0.13,1709,101,125,193,170,139,103,65,66,79,83,81,65,89,107,112,54,,77
83,Other metabolic disorders and immunodeficiencies,D86.0 D86.9,Sarcoidosis of lung,Sarcoidosis of lung,0.700968,0.227184,0.071848,D86,R59,R06,0.99,0.00,0.00,10709,408,510,607,776,740,532,340,244,225,766,911,720,867,1151,1000,297,343,272
86,Other metabolic disorders and immunodeficiencies,E78,Disorders of lipoprotein metabolism and other lipidemias,Disorders of lipoprotein metabolism and other lipidemias,0.988398,0.008081,0.003521,E78,Z76,Z83,0.98,0.02,0.00,14854,323,366,509,1553,1272,756,694,506,623,748,726,678,1411,1618,1659,381,479,552
88,Other metabolic disorders and immunodeficiencies,E83,Disorders of mineral metabolism,Disorders of mineral metabolism,0.789413,0.103362,0.107225,E83,E55,E88,0.90,0.06,0.01,6692,152,191,238,620,477,306,494,431,472,190,227,222,424,509,571,337,398,433
91,Other metabolic disorders and immunodeficiencies,E88,Other and unspecified metabolic disorders,Other and unspecified metabolic disorders,0.793258,0.051957,0.154785,E34,E16,E87,0.20,0.12,0.11,18865,1006,1167,1329,1665,1303,944,1296,1057,1030,775,571,495,1237,1147,957,1003,972,911
92,Other metabolic disorders and immunodeficiencies,M05-M14,Inflammatory polyarthropathies,Inflammatory polyarthropathies,0.972531,0.010083,0.017385,D86,M14,Z03,0.98,0.01,0.00,2006,116,198,201,149,156,109,,,,159,248,222,112,195,141,,,
93,Diseases of the blood and blood-forming organs,D50-D53,Nutritional anemias,Nutritional anemias,0.473272,0.286473,0.240255,D50,D51,E61,0.89,0.04,0.04,55708,2279,1875,1789,4037,2959,1723,6662,7269,5337,352,244,183,1943,1516,1071,6559,5503,4407
94,Diseases of the blood and blood-forming organs,D55-D59,Hemolytic anemias,Hemolytic anemias,0.68557,0.069856,0.244574,D59,D56,D58,0.38,0.28,0.14,3544,249,191,220,252,205,114,260,204,199,216,108,75,212,189,132,252,238,228
95,Diseases of the blood and blood-forming organs,D60-D64,Aplastic and other anemias and other bone marrow failure syndromes,Aplastic and other anemias and other bone marrow failure syndromes,0.660529,0.139912,0.199559,D64,D75,R70,0.76,0.08,0.04,17407,259,234,249,759,520,308,1941,2116,1570,215,124,96,849,641,497,2550,2320,2159
96,Diseases of the blood and blood-forming organs,D65-D69,"Coagulation defects, purpura and other hemorrhagic conditions","Coagulation defects, purpura and other hemorrhagic conditions",0.834989,0.05584,0.109171,D69,D68,D66,0.42,0.39,0.06,18506,973,1237,1974,1300,1045,741,1181,1108,1022,459,485,425,888,890,905,1236,1325,1312
97,Diseases of the blood and blood-forming organs,D70-D77,Other disorders of blood and blood-forming organs,Other disorders of blood and blood-forming organs,0.792412,0.098962,0.108626,D72,D75,D70,0.38,0.27,0.11,7862,361,355,429,663,519,364,532,506,502,270,193,157,502,465,372,598,532,542
99,Dementia,F03 R41 G30,"Alzheimer's disease, Unspecified dementia, Oth symptoms and signs w cognitive functions and awareness","Alzheimer's disease, Unspecified dementia, Oth symptoms and signs w cognitive functions and awareness",0.818612,0.132882,0.048507,F03,R41,G30,0.35,0.24,0.16,74227,,,,1026,775,404,11831,13681,11085,64,,,1415,1174,806,10488,10530,10948
100,Dementia,F05,Delirium due to known physiological condition,Delirium due to known physiological condition,0.927199,0.005658,0.067143,F05,R41,Z76,0.99,0.00,0.00,48709,,,,134,76,,7166,8989,5735,,,,279,208,111,10438,8389,7184
101,Dementia,F10-F19,Mental and behavioral disorders due to psychoactive substance use,Mental and behavioral disorders due to psychoactive substance use,0.857858,0.062457,0.079685,R41,Z03,F06,0.47,0.14,0.12,42444,611,636,619,2855,2475,1481,3680,3435,3633,798,556,371,3323,3119,2471,3777,4080,4524
103,Mental disorders,F30-F39,Mood [affective] disorders,Mood [affective] disorders,0.80166,0.08064,0.117699,F32,F39,G40,0.63,0.26,0.07,2475,,,,,,,508,596,465,,,,,,,344,308,254
106,Mental disorders,F80-F89,Pervasive and specific developmental disorders,Pervasive and specific developmental disorders,1,0,0,F80,Z03,F81,0.60,0.08,0.06,1928,58,80,92,147,152,114,106,85,86,81,61,,148,142,136,125,167,148
108,Mental disorders,F99,"Mental disorder, not otherwise specified","Mental disorder, not otherwise specified",0.853552,0.035506,0.110942,F44,F99,F41,0.22,0.21,0.08,22512,1645,1568,1550,2041,1316,762,1778,1796,1553,983,525,293,1485,1054,659,1363,1107,1034
109,Mental disorders,T36-T50,"Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances","Poisoning by, adverse effect of and underdosing of drugs, medicaments and biological substances",0.764479,0.047789,0.187732,T51,T65,T40,0.33,0.22,0.16,4261,147,100,89,329,204,100,258,210,241,447,139,80,610,302,182,315,249,259
110,Parkinson?s disease,G20-G26,Extrapyramidal and movement disorders,Extrapyramidal and movement disorders,0.932038,0.021001,0.04696,G20,G25,R25,0.34,0.31,0.15,54902,779,827,866,2978,2269,1240,5797,5357,5194,796,571,440,2693,2579,2239,6463,6685,7129
111,Multiple sclerosis,G35-G37,Demyelinating diseases of the central nervous system,Demyelinating diseases of the central nervous system,0.744654,0.124213,0.131133,G35,G37,Z76,0.94,0.03,0.02,8866,760,1043,1387,969,856,660,211,141,173,398,381,314,448,399,415,100,97,114
112,Epilepsy,G40 Z03,Epilepsy and recurrent seizures,Epilepsy and recurrent seizures,0.671553,0.026482,0.301965,G40,Z03,R56,0.91,0.03,0.02,45084,1490,1489,1527,2837,2230,1337,2981,2707,2495,2815,1628,1019,4402,3129,2412,3655,3547,3384
113,Epilepsy,R55,Syncope and collapse,Syncope and collapse,0.899211,0.024258,0.076531,R55,R29,G98,0.97,0.01,0.01,33506,873,915,925,2085,1664,962,3331,3197,2812,819,721,523,2058,1857,1438,3053,3213,3060
114,Disorders of the lens (cataract),H25-H28,Disorders of lens,Disorders of lens,0.65803,0.333321,0.008649,H26,H25,H27,0.67,0.30,0.01,627487,845,1017,1075,20518,16916,10671,101614,99324,94975,1217,915,764,15803,16298,17237,71504,75523,81271
115,Refractive disorders and strabismus,H50,Other strabismus,Other strabismus,0.832147,0.162952,0.004901,H50,H49,H51,0.80,0.14,0.04,22827,769,946,1174,1471,1310,924,1697,1745,1829,854,726,630,1142,1160,1181,1432,1684,2153
116,Refractive disorders and strabismus,H51,Other disorders of binocular movement,Other disorders of binocular movement,0.956196,0.042788,0.001016,H51,H50,H53,0.45,0.42,0.09,24213,943,1112,1292,1766,1498,1039,2054,2072,2094,702,660,520,1054,1075,1160,1304,1623,2245
117,Refractive disorders and strabismus,H52,Disorders of refraction and accommodation,Disorders of refraction and accommodation,0.998777,0.00121,0.000013,H52,Z00,H53,0.98,0.01,0.01,73279,3216,3488,4154,6719,5609,4083,5225,4960,5028,2384,1902,1812,4551,3963,4082,3648,3935,4520
118,Refractive disorders and strabismus,H53-H54,Visual disturbances and blindness,Visual disturbances and blindness,0.996947,0.003009,0.000044,H53,Z00,H52,0.99,0.00,0.00,7477,370,365,391,753,587,325,487,422,452,390,229,188,565,443,339,361,392,418
119,Eyelid disorders and ?red eye?,H02 Q82 D23,Other disorders of eyelid,Other disorders of eyelid,0.876038,0.118181,0.005781,H02,Q82,D23,0.75,0.08,0.08,78014,1159,1357,1815,5999,4899,3299,8373,8525,7707,900,844,784,2965,3501,3690,7115,7459,7623
120,Eyelid disorders and ?red eye?,H01,Other inflammation of eyelid,Other inflammation of eyelid,0.997785,0.002094,0.000121,H01,Z00,M35,1.00,0.00,0.00,59695,787,947,1332,3962,3252,2383,6964,6791,6867,1046,958,1006,2694,2780,3184,4566,4755,5421
121,Eyelid disorders and ?red eye?,H00,Hordeolum and chalazion,Hordeolum and chalazion,0.962231,0.037045,0.000725,H00,Z00,Z76,0.99,0.00,0.00,48030,1625,1886,2854,3412,3246,2709,2611,2319,2590,2997,2695,2770,2972,3383,4371,1505,1792,2293
122,Eyelid disorders and ?red eye?,H04 E05 H05,"Disorders of lacrimal system, Thyrotoxicosis [hyperthyroidism]","Disorders of lacrimal system, Thyrotoxicosis [hyperthyroidism]",0.913167,0.070779,0.016053,H04,E05,H05,0.62,0.11,0.11,37324,903,1064,1355,3256,2670,1913,4164,3978,3887,740,477,377,1416,1303,1222,2755,2941,2903
123,Eyelid disorders and ?red eye?,H11 H10 B34,Other disorders of conjunctiva,Other disorders of conjunctiva,0.950056,0.047722,0.002222,H11,H10,B34,0.49,0.29,0.09,55587,2150,2429,3679,4209,3983,3053,3450,3067,3157,2656,2212,1954,3408,3506,3393,2931,3095,3255
