sex,age_group,disease_id_from,disease_id_to,link_strength
Female,25-44,191,83,0.001953960711376
Female,25-44,191,91,0.0027262735153497
Female,25-44,191,118,0.0020032691696839
Female,25-44,191,258,0.0080722234853974
Female,25-44,191,324,0.0096353760497862
Female,25-44,191,362,0.0028282121043026
Female,25-44,192,38,0.0013966380711531
Female,25-44,192,144,0.0052870293672378
Female,25-44,192,145,0.0080507410111035
Female,25-44,192,146,0.0056851826071298
Female,25-44,192,191,0.004911482393835
Female,25-44,192,193,0.0035731107126918
Female,25-44,192,195,0.0020268475414292
Female,25-44,192,198,0.0087286050647136
Female,25-44,192,208,0.012388375630929
Female,25-44,192,288,0.0099070639006255
Female,25-44,192,290,0.0013580970988448
Female,25-44,192,301,0.0049174810454427
Female,25-44,192,324,0.0140840768892091
Female,25-44,192,354,0.001957655280907
Female,25-44,198,59,0.0019882416530581
Female,25-44,198,116,0.0019338364316706
Female,25-44,198,124,0.0071538027247145
Female,25-44,198,146,0.0134936649827391
Female,25-44,198,147,0.0020329913463202
Female,25-44,198,159,0.0047920416527118
Female,25-44,198,171,0.0019947017992044
Female,25-44,198,192,0.0151336245082733
Female,25-44,198,193,0.0032411612315162
Female,25-44,198,195,0.0018756775954197
Female,25-44,198,197,0.0031170912375477
Female,25-44,198,293,0.0051300495437734
Female,25-44,198,324,0.0206476520744101
Female,25-44,198,326,0.003143444466593
Female,25-44,198,332,0.0052538525277038
Female,25-44,208,11,0.0034578214524457
Female,25-44,208,132,0.0038106550434839
Female,25-44,208,137,0.0027798585376113
Female,25-44,208,139,0.0053496921804596
Female,25-44,208,140,0.0064428114632584
Female,25-44,208,145,0.0087172115488289
Female,25-44,208,146,0.0095278910434553
Female,25-44,208,153,0.0022495418093863
Female,25-44,208,164,0.0168401000972976
Female,25-44,208,213,0.0034039527574715
Female,25-44,208,218,0.0023856365792776
Female,25-44,208,219,0.0061868803290654
Female,25-44,208,222,0.0140709650637467
Female,25-44,208,223,0.0051413471159544
Female,25-44,208,226,0.0060366228872059
Female,25-44,208,229,0.0023710307723582
Female,25-44,208,230,0.0111583187184092
Female,25-44,208,231,0.0016492245877648
Female,25-44,208,259,0.0165029566158035
Female,25-44,208,280,0.0016082530855926
Female,25-44,208,299,0.0070174062417573
Female,25-44,208,303,0.0118844494121121
Female,25-44,208,324,0.0086710113749385
Female,25-44,208,330,0.0036675507945966
Female,25-44,208,332,0.0059592797357417
Female,25-44,211,23,0.0019072519524384
Female,25-44,211,71,0.0037213297327096
Female,25-44,211,112,0.0036693154676879
Female,25-44,211,163,0.0019520956160762
Female,25-44,211,252,0.0055909349650897
Female,25-44,211,306,0.0037820749724596
Female,25-44,211,355,0.003717914381592
Female,25-44,211,287288,0.001931504122479
Female,25-44,214,144,0.009580349272943
Female,25-44,214,218,0.0037139517277627
Female,25-44,214,222,0.0121615411333008
Female,25-44,214,254,0.0101142279828958
Female,25-44,214,290,0.0037797590196135
Female,25-44,214,340,0.0035718860841988
Female,25-44,219,3,0.0024082056299891
Female,25-44,219,189,0.004410429041631
Female,25-44,219,217,0.0032748566058248
Female,25-44,219,222,0.0151293139471771
Female,25-44,219,268,0.0030953092012755
Female,25-44,219,290,0.0016705816615275
Female,25-44,219,303,0.0081199526669953
Female,25-44,219,306,0.0024329725088003
Female,25-44,219,338364,0.0016595299149108
Female,25-44,222,91,0.0017878073485349
Female,25-44,222,93,0.0020163649170107
Female,25-44,222,101,0.0015614284293407
Female,25-44,222,146,0.0049271685125024
Female,25-44,222,153,0.0018814760209748
Female,25-44,222,166,0.0014821305197944
Female,25-44,222,198,0.0039502407614609
Female,25-44,222,208,0.0060517643953904
