disease_id,outcome,income,sex,age_group,rel_year,estimate,ci_low,ci_high,p_value,n
1,79,Medium,Female,45-64,5,-.0150533495470881,-.17751306,.14740637,.85588759,180
1,79,Medium,Female,45-64,-1,-.0042273965664208,-.028285205,.019830411,.73053962,180
1,79,Medium,Female,45-64,-2,0,0,0,,180
1,79,Medium,Female,45-64,-3,-.0074986764229834,-.03102736,.016030008,.53219485,180
1,79,Medium,Female,45-64,-4,.015177009627223,-.0065068705,.036860891,.17011146,180
1,79,Medium,Female,45-64,-5,0,0,0,,180
1,79,High,Female,45-64,0,-.0094164675101638,-.061045576,.042212643,.72073394,151
1,79,High,Female,45-64,1,-.0102155171334743,-.098558478,.078127444,.82070047,151
1,79,High,Female,45-64,2,.0051336018368602,-.10606445,.11633165,.92790109,151
1,79,High,Female,45-64,3,-.0099758636206388,-.14577453,.12582281,.88551396,151
1,79,High,Female,45-64,4,.0024720639921725,-.15985885,.16480298,.9761883,151
1,79,High,Female,45-64,5,-.0139742344617844,-.20271231,.17476384,.88461685,151
1,79,High,Female,45-64,-1,.0195044372230768,-.0085665137,.047575388,.17324217,151
1,79,High,Female,45-64,-2,0,0,0,,151
1,79,High,Female,45-64,-3,-.0002243153721793,-.020932557,.020483926,.98306131,151
1,79,High,Female,45-64,-4,-.0171681996434927,-.046503309,.012166909,.25134918,151
1,79,High,Female,45-64,-5,0,0,0,,151
1,79,Low,Male,25-44,0,-.1360574960708618,-.29142472,.019309727,.086088397,123
1,79,Low,Male,25-44,1,-.2687007784843445,-.4653261,-.072075471,.0073961006,123
1,79,Low,Male,25-44,2,-.304724395275116,-.57413155,-.035317264,.026627097,123
1,79,Low,Male,25-44,3,-.3697744607925415,-.75787228,.018323353,.061837088,123
1,79,Low,Male,25-44,4,-.3319243192672729,-.77775931,.11391065,.14450434,123
1,79,Low,Male,25-44,5,-.3557985424995422,-.87362087,.16202377,.17806827,123
1,79,Low,Male,25-44,-1,-.0267564337700605,-.13245687,.078943998,.619793,123
1,79,Low,Male,25-44,-2,0,0,0,,123
1,79,Low,Male,25-44,-3,.0595808587968349,-.046802081,.1659638,.27232757,123
1,79,Low,Male,25-44,-4,.0791938602924347,-.02211865,.18050638,.12550004,123
1,79,Low,Male,25-44,-5,0,0,0,,123
1,79,Medium,Male,25-44,0,-.007220892701298,-.06344112,.048999339,.8012411,156
1,79,Medium,Male,25-44,1,-.0115380845963955,-.10642904,.083352871,.81163102,156
1,79,Medium,Male,25-44,2,-.0014157129917294,-.11658006,.11374863,.98077744,156
1,79,Medium,Male,25-44,3,.0305818021297455,-.1065289,.1676925,.66198993,156
1,79,Medium,Male,25-44,4,.0575584769248962,-.11039542,.22551239,.50177479,156
1,79,Medium,Male,25-44,5,.0651879906654358,-.14272137,.27309734,.53885907,156
1,79,Medium,Male,25-44,-1,.0118670631200075,-.018831968,.042566095,.44865423,156
1,79,Medium,Male,25-44,-2,0,0,0,,156
1,79,Medium,Male,25-44,-3,-.0423833802342415,-.076087788,-.008678969,.013712616,156
1,79,Medium,Male,25-44,-4,.0086026731878519,-.026023718,.043229066,.62629545,156
1,79,Medium,Male,25-44,-5,0,0,0,,156
1,79,High,Male,25-44,0,-.0327341333031654,-.10232469,.03685642,.35655546,118
1,79,High,Male,25-44,1,-.0362505689263344,-.12332554,.0508244,.41451368,118
1,79,High,Male,25-44,2,-.0538868345320225,-.1613307,.053557023,.3256034,118
1,79,High,Male,25-44,3,-.0458142571151257,-.19301817,.10138965,.5418548,118
1,79,High,Male,25-44,4,-.0593739300966263,-.23448312,.11573526,.5063234,118
1,79,High,Male,25-44,5,-.0694972574710846,-.27717331,.1381788,.5118888,118
1,79,High,Male,25-44,-1,-.0286665372550488,-.066965841,.0096327662,.14236657,118
1,79,High,Male,25-44,-2,0,0,0,,118
1,79,High,Male,25-44,-3,-.0023961539845914,-.035428129,.030635823,.88693839,118
1,79,High,Male,25-44,-4,-.0200924891978502,-.052413452,.012228476,.22305538,118
1,79,High,Male,25-44,-5,0,0,0,,118
1,79,Low,Male,45-64,0,-.0701358467340469,-.1588833,.018611606,.12139133,139
1,79,Low,Male,45-64,1,-.1419977694749832,-.27048445,-.013511096,.030303163,139
1,79,Low,Male,45-64,2,-.1190863475203514,-.26915151,.030978814,.11985418,139
1,79,Low,Male,45-64,3,-.1452385187149048,-.33027253,.039795477,.12393606,139
1,79,Low,Male,45-64,4,-.1591754257678986,-.38403046,.065679617,.1652928,139
1,79,Low,Male,45-64,5,-.1299230754375458,-.38408351,.12423736,.31638071,139
1,79,Low,Male,45-64,-1,-.0462422035634518,-.097567171,.0050827628,.077412754,139
1,79,Low,Male,45-64,-2,0,0,0,,139
1,79,Low,Male,45-64,-3,-.0174647308886051,-.066004224,.03107476,.48067522,139
1,79,Low,Male,45-64,-4,-.012051759287715,-.047779631,.023676114,.50851673,139
1,79,Low,Male,45-64,-5,0,0,0,,139
1,79,Medium,Male,45-64,0,-.0146695841103792,-.057585504,.028246338,.50287682,201
1,79,Medium,Male,45-64,1,-.0048895883373916,-.063626572,.053847399,.87039155,201
1,79,Medium,Male,45-64,2,.009386882185936,-.065809347,.084583111,.80671167,201
